2877,231,2870
2870,230,2872
2875,251,2877
2904,229,2867
2913,230,2876
2858,236,2904
2990,247,2904
3001,208,2899
2879,243,2943
2879,241,2937
2885,231,2936
2892,229,2945
2990,224,2946
2901,232,2975
2978,232,2966
3004,230,2985
3018,247,2986
2876,227,3001
3015,225,3000
2910,234,3012
2974,218,3010
2991,226,3023
3010,221,3013
3013,225,3022
3028,230,3020
2980,230,3041
3023,235,3042
2894,231,3059
3014,230,3067
3048,229,3059
3070,240,3056
2890,231,3086
2916,229,3079
2981,243,3077
3006,243,3079
3056,239,3074
2892,229,3095
2902,229,3116
3025,237,3108
3043,233,3113
3059,239,3115
2925,232,3120
2951,230,3126
2981,230,3125
2983,241,3121
3081,229,2886
3121,221,2903
3080,229,2915
3140,226,2929
3083,231,2949
3143,229,2955
3093,228,2961
3097,243,3013
3104,241,3063
3135,229,3061
3152,228,3060
3137,235,3073
3138,246,3079
3115,228,3101
3138,244,3102
3133,232,3118
3090,249,3123
3136,241,3123
3095,230,3136
3116,229,3141
3122,243,3136
